AI Agents , Defi , AI	Ava	
Defi X Infra	VANTAGE	
Agentic Payments, x402	Oscorp Protocol	
Defi	SKIN	
Defi	Orbital	
consumer	Meteor	
DeFi	ATRUM-Private Prediction Markets on Monad	
Security	Agent Shield	
Web3 Gaming	Footmon	
DeFi	Myference: Sell your own AI Inference	
Defi	Montra — Visual DeFi Workflow Engine on Monad	
AI Agents	Paylox	
Gaming / Infrastructure	MonSocket - Socket.io for Monad	
DeFi	Synod	
blockchain	centralized blockchain application credentials	
Defi	Luxvoid Monad Physical RWA	
Agentic Commerce	Verity	
AI / Agents / Agentic	AGENT SETTLEMENT MESH	
DeFi	WholeHearted Village Directory + Timebank	
Intents	MonadIntents	
DEFI, AI, Data	Corpus	
DeFi	Monad Auctions	
Crypto	Leash	
Privacy Infrastructure / DeFi Tooling	Umbra — Universal Shielded Wallet	
DePIN	VisEarn	
DeFi	TickPay	
Infrastructure / AI Agents	MONAD | GATE	
Dapp	Cosmic Handshake	
Privacy	Ghostify - Incognito mode for your money.	
Trading agent	Monad Signal Agent	
Supply-Chain	Madame Kimchi Passport	
AI Infra	Candence BlackBox	
AI Agents / Infrastructure	AgentTab	
Consumer apps	LastUnit	
Defi , NFT	Will Vault	
DeFi	FinSight AI	
Governance	CouncilOS Console — Proof of Effort on Monad	
AI agents	Testing Dynamic Mock AI Payout	
agent	Agent reputation	
defi	guardian-ai	
Defi liquid stacking	Feemon	
dApp	Mon-E-Heist	
Agent Marketplace	Handshake	
GameFi / NFT / On-chain Gaming	MonBeast Arena	
DePIN Travel	Travel AI Scout	
AI + Infrastructure	AgentPassport	
AI + Web3	ChainMind	
NFT	AI Campus Assistant	
NFT	BlindBid	
DeFi, ERC-8004 Agent	MonTrust	
AI, Defi	PiggyBag	
AI Agent	AgentX - Guarded Skill Marketplace for Autonomous Agents on Monad	
AI Agents / DeFi	Foreman	
An AI-agent security tool: autonomous auditors prove exploits against vulnerable contracts and settle bounties onchain (x402/USDC) on Monad.	ProofForge	
Digital Identity (Decentralized Identity / Identity Management)	TrustPass	
on-chain trust layer	The ProofOfModel	
DeFi (Decentralized Finance)	Monad Sentiment Matrix	
DeFi	Penguin Protocol	
Agentic Web3	Castle	
AI + DeFi	TaskBid — a micro-task marketplace for the Agent Economy	
Agentic AI	AgentMonad	
AI x Crypto	CrossCheck	
Defi	Monad Pilot	
Gaming	ShotGun Roulette	
Infrastructure	mneme	
DeFi	MONAD AI	
PoW	BuildBuddy	
Artificial Life	Darwin - The Living AI Organism on Monad	
AI Gaming	Amongnad	
DEFI	Agentic perpl	
NFT	Monarch	
Infra, Security, Agentic AI	Flying Police	
Defi , agentic AI	SafeGuard Insurance	
DeFi(Escrow/Settlement Primitive, On-chain payment Rail)	SETTLD	
Agentic Gaming Ecosystem.	13 Tower of Hell	
DeFi	Leash Protocol	
SocialFi	BuildlBet	
Consumer-App	Veritas	
DeFi	Miv Blockchain	
Football, Sports	DraftMon	
NFT	Forge	
dApp	MonadStamp	
NFT	HyperLog	
Payments	Streampay	
DeFi, Consumer	AgentGig	
Wallet Infrastructure	Premon	
Game-Fi/AR	MonadGo	
GameFi	Werewolf: Agent vs Agent Prediction Game	
Security	SentryScan	
GameFi / On-chain Gaming	Age of Nodes	
On-chain Identity	ProofWork	
Defi	MonBank	
Game	MonPet	
Communication	Agent-Tale	
DeFi	BitStarter	
Consumer / DeFi (Parallel Execution)	soz	
Consumer, AI	PromptMarket	
DePIN	OrbitLink	
Health	Pharma Guard	
DeFi, Web3	PASSBLITZ	
